System,Capability
.NET,End User Services
1SOURCE,Pharmacy Services
24HBP,Ambulatory Diagnostic Services (Medical)
24 HOUR NURSING,Utilization Management
3D-OCT 2000,Specialty Care
3DI,Mental Healthcare
3D Topographer,Specialty Care
3T,Defensive Cyber - Internal Defensive Measures
7500 PCR,Laboratory Diagnostic Services
911 RECORDER,Localized Communications
AAA STACK,Common Identity Assurance Services
ABACUS,Accounting and Finance
ABHIDE,Archive and Retrieve Health-Related Documents and Data
ABHIDE,Ensure the Physical and Mental Health of the Redeployed Force
ABHIDE,Provide Health Risk Assessment
ABHIDE,Provide Comprehensive Health Surveillance
ABIS,Medical Information Management
ABOG,Credentialing and Privileging
ABP,Environmental
ABPM,Routine Ambulatory Care (Medical)
ABR,Sensory Rehabilitation
ABSS,End User Services
ACAS,Net Management
ACAV,Routine Ambulatory Care (Medical)
ACCESS,Laboratory Diagnostic Services
ACCESS CONTROL,Installation Services
ACCU-CHEK,Specialty Care
ACD,Localized Communications
ACDSEE,Enterprise Application Software
ACL,Audits
ACM,Laboratory Diagnostic Services
ACRONIS,Server Services
ACS,Assure Access
ACS-ECG,Optimize Health and Fitness of the Peacetime Force
ACS-ECG,Archive and Retrieve Health-Related Documents and Data
ACS-ECG,Studies & Analyses
ACS-ECG,Ambulatory Diagnostic Services (Medical)
ACS-W,Mental Healthcare
ACS ECG,Archive and Retrieve Health-Related Documents and Data
ACTIGRAPH,Specialty Care
ACTILIFE,Specialty Care
ACTIVCLIENT,Assure Access
ACTIVEROLES,Assure Access
ACTIVEX,End User Services
ACTIVIDENTITY,Assure Access
ACTUR,DEFINE THE HEALTH BENEFIT
AD,Mental Healthcare
AD,Physical Rehabilitation
AD,Provide Health-Related Education
AD,Preventive Medical Services
AD,Wounded  Ill and Injured Support
AD,Content Delivery
AD,User Access (Portal)
ADM,Mental Healthcare
ADMIN COST,Accounting and Finance
ADOBE,Shared Computing
ADPAAS,Personnel Accountability
ADS,Medical Research and Development
ADVIA,Laboratory Diagnostic Services
AD OJT,Core and Specialty Medical Education and Training Programs
AE51,Occupational Health Services
AEI,Occupational Health Services
AEP,Specialty Care
AERO,Ambulatory Diagnostic Services (Medical)
AERO,Content Discovery
AERO,Archive and Retrieve Health-Related Documents and Data
AERO,Readiness Reporting
AERO,Assure Transfer
AEROSCOUT,Medical Logistics Services
AF-EMIS,Environmental
AF-RTP,Laboratory Diagnostic Services
AF-RTP,Ambulatory Diagnostic Services (Medical)
AF-RTP,Inpatient Diagnostic Services
AFDTL-IMS,Occupational Health Services
AFFYMETRIX,End User Services
AFMES SIPRNET,Portal Services
AFMETS,Provide Comprehensive Health Surveillance
AFMISTB,Operational Test and Evaluation
AFMOWAP,Surgery (Ambulatory)
AFMOWAP,Archive and Retrieve Health-Related Documents and Data
AFMOWAP,Optimize Health and Fitness of the Peacetime Force
AFMOWAP,Ambulatory Diagnostic Services (Medical)
AFMOWAP,Manage DHP Military Personnel (MilPers) by End Strength
AFMOWAP,Provide Comprehensive Health Surveillance
AFMOWAP,User Access (Portal)
AFMOWAP,Health Information Performance Assessment
AFMS-Kx,Continuing Health Education
AFMS-Kx,Medical Readiness Training
AFMS-Kx,Develop and Maintain Shared Situational Awareness and Understanding
AFMS-Kx,User Access (Portal)
AFMS-Kx,Provide Health-Related Education
AFMS-Kx,Information Sharing
AFMS-Kx,Training
AFMS Dashboard,Provide Comprehensive Health Surveillance
AFS,Common Identity Assurance Services
AFTR,Professional Military Education
AGFA,Radiology Diagnostic Services
AGILENT VEE,Medical Research and Development
AGV,Medical Logistics Services
AHIDB,Accounting and Finance
AHLTA,Manage Warfighter Performance
AHLTA,Ensure the Physical and Mental Health of the Redeployed Force
AHLTA,Archive and Retrieve Health-Related Documents and Data
AHLTA,Physical Rehabilitation
AHLTA,Optimize Health and Fitness of the Peacetime Force
AHLTA,Assess Achievement of Objectives
AHLTA,Exercise Medical Management of Seamless Interoperable Medical Operations
AHLTA,Amputee Care
AHLTA,Medical Care in a CBRNE Environment
AHLTA,Occupational Health Services
AHLTA,Primary Care
AHLTA,Mental Healthcare
AHLTA,Enhance Warfighter Sensory  Cognitive  and Motor Capabilities
AHLTA,Emergency Detainee Healthcare
AHLTA,Manage Warfighter Fatigue
AHLTA,Health Quality and Safety
AHLTA,Detainee Healthcare
AHLTA,Assess Available Capabilities
AHLTA,Wounded  Ill and Injured Support
AHLTA,Enhance Physiological Capability
AHLTA,Emergency Healthcare Services
AHLTA,Transitional Services
AHLTA,Access a Healthy and Fit Force
AHLTA,Provide Patient Reception  Staging and Re-distribution
AHLTA,Therapeutic Radiology Services
AHLTA,Assess Effects
AHLTA,Provide and Maintain Ability to Operate Across the Full ROMO
AHLTA,Ambulatory Diagnostic Services (Medical)
AHLTA,First Responder Care
AHLTA,Pharmacy Services
AHLTA,Routine Ambulatory Care (Medical)
AHLTA,En Route Care
AHLTA,Substance Abuse Care
AHLTA-T,Medical Command and Control
AHLTA PRINT,Archive and Retrieve Health-Related Documents and Data
AHPW,Portal Services
AHSS,Occupational Health Services
AIDC,Medical Research and Development
AIM,Environmental
AIMS,Occupational Health Services
AIMWTS,Portal Services
AIP,End User Services
AIRSTRIP,Inpatient Diagnostic Services
AKO TELECONSULTAT,TREATMENT
AKSMCDV,Archive and Retrieve Health-Related Documents and Data
ALICE,Specialty Care
ALOHA,Achievement of health preparedness and an adequate response capability
ALTIGEN,Localized Communications
AMA,Continuing Health Education
AMAG,Installation Services
AMA CPT,Medical Information Management
AMCOM-IntePage IP,Enterprise Messaging
AME,Medical Logistics Services
AMEG,Installation Services
AMEGA,Medical Logistics Services
AMION,Personnel Accountability
AMMAS,Medical Research and Development
AMO,Server Services
AMP,Health Quality and Safety
AMS,Medical Research and Development
AMSCOPE,Medical Research and Development
AMSMS,Enterprise Messaging
AMX-TP,End User Services
AMgtSys,Personnel Accountability
ANALYZEDIRECT,Medical Research and Development
ANAM,Provide Health Risk Assessment
ANAM,Ambulatory Diagnostic Services (Medical)
ANAM,Ensure the Physical and Mental Health of the Redeployed Force
ANAM,Archive and Retrieve Health-Related Documents and Data
ANAM,Medical Management (Chronic Illnesses)
ANAM,Routine Ambulatory Care (Medical)
ANTIGEN,Laboratory Diagnostic Services
ANYCONNECT,End User Services
ANYMAZE,Medical Research and Development
APACHE TOMCAT,Server Services
APC IMC,Network Resource Visibility
APEQS,Total Medical Force Recruiting
APEQS,Credentialing and Privileging
APEQS,Medical Readiness Training
APEQS,Continuing Health Education
APEQS,Access a Healthy and Fit Force
APEQS,Staff Development
APEQS,Health Quality and Safety
APEX2-ASTB,Access a Healthy and Fit Force
APLSS,Quality Improvement (QI)
APPAS,Inventory Management
APPDETECTIVE,Protect Against Disclosure or Modification of Data
APPDNA,Information Sharing
APPRAIS,Medical Research and Development
APPROVEIT,Enterprise Application Software
APPS,Medical Research and Development
APPS-MEDIA-CFI,Server Services
APPSENSE,Distributed Computing
APP SERVER,Server Services
APTERYX,Preventive Dentistry Services
AR,Emergency Services
ARCserve,Server Services
ARGENT,Server Services
ARMD,Surgery (Ambulatory)
ARMS,Medical Research and Development
ARMoR-D,Public Health Laboratory (PHL) Services
ARMoR-D,Archive and Retrieve Health-Related Documents and Data
ARMoR-D,Provide Comprehensive Health Surveillance
ARORDERS,Inventory Management
ARP,Audits
ART,Claims Payment
ART,Beneficiary Services
ARTICULATESTUDIO,Staff Development
AS-U-TYPE,Enterprise Application Software
ASIMS,Immunization
ASKVHC,Immunization
ASPS,Archive and Retrieve Health-Related Documents and Data
ASSETGATHER,Medical Equipment and Technology
ASSIST,Mental Healthcare
ASWT,Medical Research and Development
ATA,Specialty Care
ATHOC,Installation Services
ATLAS,Laboratory Diagnostic Services
ATLAS QA,Therapeutic Radiology Services
ATLAS TOPOGRAPHER,Specialty Care
ATOMLAB,Radiology Diagnostic Services
ATPC,Risk Management
ATPSU,Compensation
ATRRS,Core and Specialty Medical Education and Training Programs
ATS,Total Medical Force Recruiting and Retention
ATTACHMATE REFLEC,Core Enterprise Services
ATTENDANCE TRACK,Staff Development
AUDACITY,End User Services
AUDBASE,Specialty Care
AUDIOCARE,Beneficiary Services
AUDIOMETER AND AUDIOBOOTH,Specialty Care
AUDIOMETER AND AUDIO BOOTH,Specialty Care
AUDSOFT,Specialty Care
AUP PHC,Assure Access
AUTOCAD,Medical Facilities
AUTODESK,Medical Research and Development
AUTODUTY,Personnel Accountability
AUTOMATE,End User Services
AUTOSTORE,Enterprise Application Software
AUTO IMMUNE ANALYZER,Laboratory Diagnostic Services
AVAMAR,Server Services
AVAYA,Communication Bridge
AVIMARK,Provide Military Working Animal Care
AV SUPPORT,End User Services
AWC,Develop and Manage Defense Health Program
AWCTS,Casualty Assistance
AWCTS,Transitional Services
AWCTS,Disability Counseling and Coaching
AWCTS,Personnel Accountability
AWCTS,Personnel and Family Support
AWCTS,Wounded  Ill and Injured Support
AWCTS,Re Integration
AWM,Medical Research and Development
AWN,Medical Research and Development
AXCELER,Server Services
Actical,Specialty Care
Agilent Bravo,Medical Research and Development
Analmonometry,Ambulatory Diagnostic Services (Medical)
ApplicationXtender,Enterprise Application Software
Audiometer and Audio Booth,Specialty Care
BACKUP,Server Services
BACTERIA ANALYZER,Laboratory Diagnostic Services
BADG PHC,Installation Services
BAERS-FL,Develop and Manage Defense Health Program (DHP)
BAERS-FL,Program - Budget and Performance
BALANCE ASSESSMENT APPLICATION,Physical Therapy
BALANCE MANAGER SYSTEM,Physical Therapy
BALANCE SYSTEM SMART,Physical Therapy
BAMCCDWSUSS,Server Services
BASC,Mental Healthcare
BASCOM,End User Services
BAYLEY-III,Mental Healthcare
BBDS,End User Services
BBPET,Provide Comprehensive Health Surveillance
BCSS,Server Services
BDQAS,Provide Comprehensive Health Surveillance
BECK,Mental Healthcare
BED STATUS SYSTEM,Utilization Management
BEL-MANAGE,Net Management
BHDP,Mental Healthcare
BHEATC,Health Quality and Safety
BHIE,Information Sharing
BHSOCCDIPV,Collaboration
BIBLE DATA,Religious Support
BICC,Quality Improvement (QI)
BICC,Ambulatory Diagnostic Services (Medical)
BICC,Preventive Medical Services
BICC,Routine Ambulatory Care (Medical)
BIO-PLEX,Medical Research and Development
BIOANALYSIS,Mental Healthcare
BIOANALYZER,Medical Research and Development
BIOCARE,Laboratory Diagnostic Services
BIOCHROM,Laboratory Diagnostic Services
BIODEX,Medical Research and Development
BIOGRAPH INFINITI,Mental Healthcare
BIOMETRY MACHINE IOLMASTER,Specialty Care
BIONUMERICS,Medical Research and Development
BIOPSY SYSTEM BREAST,Radiology Diagnostic Services
BIOTEK,Laboratory Diagnostic Services
BIOWORKS,Medical Research and Development
BIRAD,Radiology Diagnostic Services
BIZCOM,Server Services
BLADDER VOLUME CALCULATOR,Specialty Care
BLAZE,Occupational Health Services
BLCC,Medical Facilities
BLINK,Defensive Cyber - Internal Defensive Measures
BLMS,Chemical - Biological Materials (MSC)
BLMS,Credentialing and Privileging
BLMS,Personnel Accountability
BLMS,Research
BLOOD ANALYZER,Laboratory Diagnostic Services
BLUE COAT,Distributed Computing
BMI,Preventive Medical Services
BMS,Medical Facilities
BMTB,Medical Information Management
BOARDMAKER,Mental Healthcare
BOG,Installation Services
BONE SCANNER,Radiology Diagnostic Services
BPMSIMS,Pharmacy Services
BPT,Develop and Manage Defense Health Program
BRACMIS,Transitional Services
BRAINJACK,Mental Healthcare
BRAINLAB,Mental Healthcare
BRAIN FITNESS,Mental Healthcare
BRC,Continuing Health Education
BRDSS-C,Burn Care
BREEZESUITE,Specialty Care
BRG,End User Services
BRIEF-SP,Mental Healthcare
BRUKER,Medical Research and Development
BSAFE,Core and Specialty Medical Education and Training Programs
BSDI,Optimize Health and Fitness of the Non-deployed Force
BSHDCS,Installation Services
BSS,Core and Specialty Medical Education and Training Programs
BUDGET BUILDER,Develop and Manage Defense Health Program
BUMIS II,Assignment
BUSINESS OBJECTS,Studies and Analysis
Blades,Server Services
Blood Analyzer,Laboratory Diagnostic Services
Blue-Ray devices,End User Services
Bone Scanner,Radiology Diagnostic Services
Brain-Train,Mental Healthcare
Brightview X,Radiology Diagnostic Services
Buxco FinePointe,Medical Research and Development
C360,Quality Assurance
CA,End User Services
CA3000,Installation Services
CACHE,Server Services
CAC RESET,Assure Access
CAD-SP,Mental Healthcare
CADET,Primary Care
CADS,Case Management
CAIT,Medical Logistics Services
CALLEGRA,Localized Communications
CALL EXPRESS,Localized Communications
CAMEO,Achievement of health preparedness and an adequate response capability
CAMO CLUSTER,Server Services
CAMTASIA,Staff Development
CANCER CE,TREATMENT
CANON,Ambulatory Diagnostic Services (Dental)
CAPS-W,Medical Financial Management
CAPTAINS LOG,Mental Healthcare
CARA,Audit  Inspection and Investigation
CARDIO-SOFT,Emergency Services
CARDIO2,Specialty Care
CARDIOVASCULAR CE,Joint and Service Medical Education and Training
CARDIO X-Ray Device,Specialty Care
CARDMINDER PFU,End User Services
CARE360,Specialty Care
CARECHEK,Laboratory Diagnostic Services
CAREFUSION,Pharmacy Services
CASE MGMT,Case Management
CAT,Contracting
CATEGORY TEST,Mental Healthcare
CATH LAB DB,Surgery (Inpatient)
CB,Medical Research and Development
CBMH,Primary Care
CBRNE,Archive and Retrieve Health-Related Documents and Data
CBUD,Accounting and Finance
CC,Accounting and Finance
CC-VISION,Medical Equipment Maintenance
CCA-200,Specialty Care
CCE,Surgery (Inpatient)
CCE,Claims Payment
CCE,Surgery (Ambulatory)
CCMIS,Localized Communications
CCOACH,Mental Healthcare
CCQAS,Assess Capabilities
CCQAS,Credentialing and Privileging
CCTV,Installation Services
CDB,Server Services
CDDLIS,Laboratory Diagnostic Services
CDI,Preventive Dentistry Services
CDMD-OA,Inventory Management
CDMRP,Medical Research and Development
CDR,Archive and Retrieve Health-Related Documents and Data
CDS,Readiness Reporting
CDS,Ambulatory Diagnostic Services (Dental)
CDS,Preventive Dentistry Services
CDS,Diagnostic Radiology Services
CDS,Routine Ambulatory Care (Dental)
CD TOWER,Server Services
CED,Specialty Care
CEDARS-SINAI,Radiology Diagnostic Services
CEEP,Medical Equipment and Technology
CEIP,Provide Health Risk Communications (Including CBRNE)
CEIP,Shared Computing Infrastructure
CEIP,Provide Health Risk Evaluation (Characterization)
CEIP,Basic
CEIP,Distributed Computing
CEIP,Provide Health Risk Assessment
CEIP,Medical Research and Development
CEIP,End User Services
CEIP,Server Services
CEIP,Archive and Retrieve Health-Related Documents and Data
CEIP,Content Discovery
CEIP,Studies & Analyses
CEIP,Applied
CEIP,Capability Demonstration
CEIP,Enterprise Application Software
CEIP,Content Delivery
CEIP,Provide Comprehensive Health Surveillance
CEIP,Wounded  Ill and Injured Support
CEIP- AFCHIPS,Provide Comprehensive Health Surveillance
CEIP- BI Virtualization,Provide Comprehensive Health Surveillance
CEIP- CAIB,Provide Comprehensive Health Surveillance
CEIP- CAP,Provide Comprehensive Health Surveillance
CEIP- COHORT,Provide Comprehensive Health Surveillance
CEIP- DAVINCI,Provide Comprehensive Health Surveillance
CEIP- HCE,Provide Comprehensive Health Surveillance
CEIP- HSDW,Provide Comprehensive Health Surveillance
CEIP- MHS Dashboard,Provide Comprehensive Health Surveillance
CEIP- RMS,Provide Comprehensive Health Surveillance
CELLAVISION,Core and Specialty Medical Education and Training Programs
CENSITRAC,Medical Materiel
CENTRAMAX,Emergency Services
CEO,Case Management
CERBERUS,Server Services
CEREC,Routine Ambulatory Care (Dental)
CERVIPATH,Primary Care
CGMSI,Medical Management (Chronic Illnesses)
CHAMPS,Archive and Retrieve Health-Related Documents and Data
CHART,Inpatient Non-Surgical Treatment
CHAS,Provide Comprehensive Health Surveillance
CHCS,Surgery (Ambulatory)
CHCS,Medical Care in a CBRNE Environment
CHCS,Laboratory Diagnostic Services
CHCS,Pharmacy Services
CHCS,Emergency Healthcare Services
CHCS,Diagnostic Radiology Services
CHCS,Ambulatory Diagnostic Services (Medical)
CHCS,Primary Care
CHD,Quality Improvement (QI)
CHECKPOINT,Medical Logistics Services
CHEMIDOC,Radiology Diagnostic Services
CHEMISTRY ANALYZER,Provide Food Safety and Inspections
CHPS,Personnel Accountability
CIHLIMS,Public Health Laboratory Services
CINAHL,Continuing Health Education
CIP,Localized Communications
CIRRUS OCT,Specialty Care
CIS,Inpatient Non-Surgical Treatment
CISCO,Beyond Line of Sight
CISCOWLAN,End User Services
CISCO PRIME,Server Services
CISCO WORKS,Net Management
CIS Reports,DEFINE THE HEALTH BENEFIT
CITRIX,End User Services
CLAIM SAVER PRO,Beneficiary Services
CLEARPASS,Portal Services
CLEARVIEW,Radiology Diagnostic Services
CLSARRAHS,Medical Research and Development
CM,Staff Development
CMA,Server Services
CMC,Protect Against Network Infiltration
CMIS,Monitoring
CMOS,Medical Logistics Management
CMP,Assure Transfer
CN3D,Medical Research and Development
CNS,Localized Communications
CNSVITAL,Mental Healthcare
CNT,Laboratory Diagnostic Services
COAGULATION ANALYZER,Medical Equipment and Technology
COBAS BGELINK,Inpatient Diagnostic Services
COGNOS,Studies and Analysis
COH,Localized Communications
COLD FUSION,End User Services
COLPOSCOPE CERVEILLANCE,Specialty Care
COLPOSCOPE OPTIK,Specialty Care
COL CBT,Staff Development
COM,Quality Improvement (QI)
COM-BOS,Medical Research and Development
COMLINX,Medical Facilities
COMM,End User Services
COMMANDVIEW,Server Services
COMMUNICATION SYSTEM,End User Services
COMMVAULT,Server Services
COMPASS,Monitoring
COMPLETE VIEW,Collaboration
COMPUDAT,Occupational Health Services
COMPUMEDICS,Specialty Care
COMPUTRITION,Inpatient Non-Surgical Treatment
COMSOL,Medical Research and Development
CON,Protect Against Network Infiltration
CONEXUS PLEXUS,Inventory Management
CONNECTDIRECT,Communication Bridge
CONSULT TRACKING,Case Management
CONT,Manage Global Supplier Networks
CONTENTDM,Medical Information Management
COPATH,Laboratory Diagnostic Services
COPIER,End User Services
COPILOT,Medical Management (Chronic Illnesses)
CORELDRAW,Enterprise Application Software
CORE ALLOTMENT,Develop and Manage Defense Health Program
CORI,Medical Information Management
CORNEAL TOPOGRAPHY ATLAS,Specialty Care
CORNEAL TOPOGRAPHY GALILEI,Specialty Care
CORNEAL TOPOGRAPHY MAGELLAN,Specialty Care
CORNEAL TOPOGRAPHY ORBSCAN,Specialty Care
CORRESPONDENCE ACCESS DATABASE,Medical Information Management
COUMACARE,Medical Management (Chronic Illnesses)
COUNTERACT,Network Resource Visibility
CP,Inspections
CPB,Case Management
CPCI,Mental Healthcare
CPS,End User Services
CPT-II,Mental Healthcare
CPW,Enterprise Application Software
CQA,DEFINE THE HEALTH BENEFIT
CR,Enterprise Application Software
CRAT,Preventive Dentistry Services
CRB,Medical Information Management
CREDANT,Protect Against Disclosure or Modification of Data
CRIS,Develop and Manage Defense Health Program
CRL2,Laboratory Diagnostic Services
CROSS MATCH,Common Identity Assurance Services
CRS,Accounting and Finance
CRYSTAL BALL,Studies and Analysis
CS2100,Localized Communications
CSBT PHC,Training
CSDR,Surgery (Inpatient)
CSET,Specialty Care
CSP,Continuing Health Education
CSTARS,Core and Specialty Medical Education and Training Programs
CS 10,Content Delivery
CT-CV,Medical Support to Disability Evaluation
CTS,Assess Available Capabilities
CT SCANNER,Radiology Diagnostic Services
CT Scanner,Radiology Diagnostic Services
CUD,Medical Logistics Services
CURES,Monitoring
CVDBASE,Specialty Care
CVLT-II,Mental Healthcare
CVS,Personnel Accountability
CW,Distributed Computing
CYSTOMETRY,Laboratory Diagnostic Services
CYTOVISION,Laboratory Diagnostic Services
Calorimeter,Laboratory Diagnostic Services
Camera  GAMMA,Radiology Diagnostic Services
CandL STANDARDS,Quality Assurance
Cardio X-Ray Device,Specialty Care
Carousel,Pharmacy Services
CatWalk XT,Medical Research and Development
Chemistry Analyzer,Provide Food Safety and Inspections
Clintegrity,Medical Information Management
CoAP,Laboratory Diagnostic Services
CoagClinic,Medical Management (Chronic Illnesses)
CoagClinic,Routine Ambulatory Care (Medical)
CoagClinic,Specialty Care
Coagulation Analyzer,Medical Equipment and Technology
Confocal Microsco,Laboratory Diagnostic Services
Coumadin,Case Management
D-KEFS,Mental Healthcare
DA,End User Services
DADISP,Studies and Analysis
DAMEWARE,End User Services
DAMIS,Substance Abuse Care
DAPS,Mental Healthcare
DAQ,Medical Research and Development
DAR,Protect Against Disclosure or Modification of Data
DART,Provide Comprehensive Health Surveillance
DARTFISH,Medical Research and Development
DASHBOARD,Quality Assurance
DATA,Accounting and Finance
DATAAPS,Compensation
DATALOAD,Server Services
DATA CENTER,Server Services
DATA ONTAP,Server Services
DAVINCI,Provide Comprehensive Health Surveillance
DBAPPS,End User Services
DBCAS,Develop and Manage Defense Health Program
DBSIGN,Assure Access
DB NET,Assure Access
DC,Assure Access
DCAM,Medical Logistics
DCPDS,Manning
DCPS,Compensation
DCRS,Credentialing and Privileging
DDI,Preventive Dentistry Services
DDRWA,Pharmacy Services
DDS,Localized Communications
DDTP,Screening
DE,Protect Against Disclosure or Modification of Data
DEAMS,Accounting and Finance
DEERS,Beneficiary Services
DEMP,Disease Management
DEMS,Environmental
DENCAS,Ambulatory Diagnostic Services (Dental)
DENCAS,Routine Ambulatory Care (Dental)
DENCAS,Preventive Dentistry Services
DENTAL XRAY INTRA,Radiology Diagnostic Services
DENTAL XRAY PANORAMIC,Radiology Diagnostic Services
DENTRIX,Preventive Dentistry Services
DESA,Installation Services
DESKTOP VALIDATOR,Assure Access
DEVAA,Preventive Dentistry Services
DEXTER,Specialty Care
DFST,Ambulatory Diagnostic Services (Dental)
DHA-ECS,Audits
DHA-ECS,Monitoring
DHA-ECS,Manage the Medicare Eligible Retiree Healthcare Fund
DHA-ECS,Accounting and Finance
DHA-ECS,Claims Payment
DHA-ECS,Medical Contract Management
DHA-ECS,Program - Budget and Performance
DHA-ECS,Medical Services Acquisition
DHA-ECS,Contract Modifications
DHA-ECS,Develop and Manage Defense Health Program (DHP)
DHA-ECS,Contract Development
DHA-MAD-PSB-CM,Contracting
DHAN,Localized Communications
DHA CMS,Enterprise Application Software
DHCP,End User Services
DHHQ,Long-Haul Telecommunications
DHHQ SIPRNET,Long-Haul Telecommunications
DHMSM,Pharmacy Services
DHMSM,Medical Materiel
DHMSM,Medical Regulation
DHMSM,Monitor Execution  Assess Effects and Adapt Operations
DHMSM,Access a Healthy and Fit Force
DHMSM,Provide Health Risk Evaluation (Characterization)
DHMSM,Provide Military Working Animal Care
DHMSM,Exercise Medical Management of Seamless Interoperable Medical Operations
DHMSM,Medical Research and Development
DHMSM,Substance Abuse Care
DHMSM,Optimize Health and Fitness of the Deployed Force
DHMSM,Medical Maintenance
DHMSM,Patient Movement Planning
DHMSM,Medical Logistics Integration
DHMSM,Routine Ambulatory Care (Medical)
DHMSM,Ensure the Physical and Mental Health of the Redeployed Force
DHMSM,Provide Health Risk Communications (Including CBRNE)
DHMSM,Establish-Adapt Lines of Communication and Relationships
DHMSM,Provide Health-Related Education
DHMSM,Provide Comprehensive Health Surveillance
DHMSM,Medical Logistics Management
DHMSM,Detainee Healthcare
DHMSM,Medical Evacuation (MEDEVAC)
DHMSM,Therapeutic Radiology Services
DHMSM,Inpatient Non-Surgical Treatment
DHMSM,Emergency Detainee Healthcare
DHMSM,Ambulatory Diagnostic Services (Medical)
DHMSM,Medical Care in a CBRNE Environment
DHMSM,Intensive Care
DHMSM,First Responder Care
DHMSM,Provide Food Safety and Inspections
DHMSM,Total Medical Force Recruiting
